#,name,asof,volume,close_usd,sector_level1,sector_level2
1,Amazon Com,12/1/99,213201960,4.25,CONSUMER CYCLICALS,Retailers
2,Amazon Com,12/2/99,190767980,4.453125,CONSUMER CYCLICALS,Retailers
3,Amazon Com,12/3/99,222977980,4.328125,CONSUMER CYCLICALS,Retailers
4,Amazon Com,12/6/99,183930000,4.3875,CONSUMER CYCLICALS,Retailers
5,Amazon Com,12/7/99,134525940,4.303125,CONSUMER CYCLICALS,Retailers
6,Amazon Com,12/8/99,257304000,4.428125,CONSUMER CYCLICALS,Retailers
7,Amazon Com,12/9/99,827050000,5.18125,CONSUMER CYCLICALS,Retailers
8,Amazon Com,12/10/99,298434000,5.334375,CONSUMER CYCLICALS,Retailers
9,Amazon Com,12/13/99,173050000,5.125,CONSUMER CYCLICALS,Retailers
10,Amazon Com,12/14/99,202085940,4.78125,CONSUMER CYCLICALS,Retailers
11,Amazon Com,12/15/99,202595940,4.825,CONSUMER CYCLICALS,Retailers
12,Amazon Com,12/16/99,140047980,4.74375,CONSUMER CYCLICALS,Retailers
13,Amazon Com,12/17/99,119030000,4.703125,CONSUMER CYCLICALS,Retailers
14,Amazon Com,12/20/99,211074000,4.85,CONSUMER CYCLICALS,Retailers
15,Amazon Com,12/21/99,190115940,4.99375,CONSUMER CYCLICALS,Retailers
16,Amazon Com,12/22/99,118397980,4.884375,CONSUMER CYCLICALS,Retailers
17,Amazon Com,12/23/99,258247980,4.5,CONSUMER CYCLICALS,Retailers
18,Amazon Com,12/24/99,0,4.5,CONSUMER CYCLICALS,Retailers
19,Amazon Com,12/27/99,330390000,4.05625,CONSUMER CYCLICALS,Retailers
20,Amazon Com,12/28/99,206080000,4.115625,CONSUMER CYCLICALS,Retailers
21,Amazon Com,12/29/99,118253980,4.175,CONSUMER CYCLICALS,Retailers
22,Amazon Com,12/30/99,185100000,3.953125,CONSUMER CYCLICALS,Retailers
23,Amazon Com,12/31/99,145411960,3.80625,CONSUMER CYCLICALS,Retailers
24,Amazon Com,1/3/00,322505940,4.46875,CONSUMER CYCLICALS,Retailers
25,Amazon Com,1/4/00,349511960,4.096875,CONSUMER CYCLICALS,Retailers
26,Amazon Com,1/5/00,769021960,3.4875,CONSUMER CYCLICALS,Retailers
27,Amazon Com,1/6/00,374944000,3.278125,CONSUMER CYCLICALS,Retailers
28,Amazon Com,1/7/00,210065940,3.478125,CONSUMER CYCLICALS,Retailers
29,Amazon Com,1/10/00,295144000,3.459375,CONSUMER CYCLICALS,Retailers
30,Amazon Com,1/11/00,210114000,3.3375,CONSUMER CYCLICALS,Retailers
31,Amazon Com,1/12/00,216097980,3.178125,CONSUMER CYCLICALS,Retailers
32,Amazon Com,1/13/00,208960000,3.296875,CONSUMER CYCLICALS,Retailers
33,Amazon Com,1/14/00,137050000,3.2125,CONSUMER CYCLICALS,Retailers
34,Amazon Com,1/17/00,0,3.2125,CONSUMER CYCLICALS,Retailers
